collectionNumber,notes,catalogNumber,scientificName,ITIS_Family,BRU_Family,genus,year,country,stateProvince,total_barcodes,trnL_barcodes,Extracted by,Extraction date,Sample characteristics ,Extraction notes,trnL c/d PCR by,trnL PCR date,trnL PCR notes,ExoSapIT_date (trnL),ExoSapIT_by (trnL),Primer Dilution_date (trnL),Primer Dilution_by (trnL),rbcL PCR by,rbcL PCR date,rbcL PCR notes,ExoSapIT_date (rbcL),ExoSapIT_by (rbcL),Primer Dilution_date (rbcL),Primer Dilution_by (rbcL),trnL sent sequencing,rbcL sent sequencing
,isotype,PBRU00037521,Pilostyles thurberi,Apodanthaceae,Rafflesiaceae,Pilostyles,NA,United States of America,Arizona,0,0,,,,,,faede748-398a-4cb2-b7b0-645dcd0f8440,,,,,,,,,,,,,,
3,,PBRU00078736,Diervilla lonicera,Diervillaceae,Caprifoliaceae,Diervilla,2020,United States of America,Rhode Island,0,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,cb2d6756-819e-4632-a0fc-c340cb429ee7,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
1,,PBRU00050298,Linnaea borealis,Linnaeaceae,Caprifoliaceae,Linnaea,2016,United States of America,Maine,0,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,no tissue left over,ACJ/PG,d464605c-4eb6-4e3a-a21f-ba42ef310704,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
4,,PBRU00073743,Loxsoma cunninghamii,Loxsomataceae,Loxsomataceae,Loxsoma,NA,New Zealand,,0,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,69670938-58df-42fc-9f75-61bec2bbdc03,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,did not band,20250409,ACJ,20250409,ACJ,20250410,20250410
14,,PBRU00072739,Didymochlaena lunulata,Didymochlaenaceae,Aspidiaceae,Didymochlaena,1898,Colombia,,2,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,no tissue left over ,ACJ/PG,b92639ca-bf03-43dc-8114-7683b924ce0b,did not band,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,did not band,20250409,ACJ,20250409,ACJ,20250410,20250410
13,,PBRU00066730,Lindsaea nervosa,Lindsaeaceae,Lindsaeaceae,Lindsaea,1880,Bangladesh,,2,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,6cd3d6f7-c73e-43b0-9387-364ea1b5e2b2,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,faint,20250409,ACJ,20250409,ACJ,20250410,20250410
12,,PBRU00025308,Nephrolepis exaltata,Nephrolepidaceae,Lomariopsidaceae,Nephrolepis,1883,Jamaica,,2,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,743e32ab-a9b4-4eff-8433-51f97dd2065d,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
11,,PBRU00039368,Batis maritima,Bataceae,Bataceae,Batis,1876,United States of America,Florida,4,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,not tissue left over; looked like a banana; thick/hard,ACJ/PG,396a4214-2feb-4cec-bf07-3db224e83798,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
10,,PBRU00047499,Sphenoclea zeylanica,Sphenocleaceae,Campanulaceae,Sphenoclea,NA,United States of America,Louisiana,4,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,99cbd2c4-6af8-4010-97c9-993541a4279b,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
9,,PBRU00047050,Anacampseros retusa,Anacampserotaceae,Crassulaceae,Anacampseros,2014,South Africa,Northern Cape Province,5,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,0208a84b-0201-4ce8-92b7-9c22f8514058,possibly too faint to send,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
,insufficient tissue,PBRU00015334,Cephalotus follicularis,Cephalotaceae,Cephalotaceae,Cephalotus,NA,Australia (Country),,5,0,,,,,,ff08c059-0e27-477d-85d6-da1d88e837d0,,,,,,,,,,,,,,
8,,PBRU00064538,Anemia adiantifolia,Anemiaceae,Anemiaceae,Anemia,1938,United States of America,Florida,6,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,no tissue left over,ACJ/PG,844dcb19-5d69-4d7e-b237-87a2ab4472a6,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
2,,PBRU00055711,Phacelia tanacetifolia,Hydrophyllaceae,Boraginaceae,Phaecelia,2015,United States of America,Massachusetts,6,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,5b020bb8-80ac-4924-9108-7a9cfcf73ff8,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
,sample exists,PBRU00045505,Sarcobatus baileyi,Sarcobataceae,Sarcobataceae,Sarcobatus,1936,United States of America,Nevada,6,0,,,,,,cb926287-e287-40d5-b6cb-0c2784d29869,,,,,,,,,,,,,,
7,,PBRU00070255,Ximenia americana,Ximeniaceae,Olacaceae,Ximenia,1876,United States of America,Florida,6,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,458b3798-5cd7-4745-be61-a84a8140e809,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
6,,PBRU00047866,Hydrolea corymbosa,Hydroleaceae,Hydrophyllaceae,Hydrolea,1874,United States of America,Florida,7,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,dca9392b-99dc-40e5-8bf3-76951fcccd28,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
5,,PBRU00077056,Onoclea sensibilis,Onocleaceae,Onocleaceae,Onoclea,2021,United States of America,Rhode Island,7,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,91e171d0-ff79-41f9-b217-90bab3e0817e,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
,,PBRU00047563,Polypremum procumbens,Tetrachondraceae,Valerianaceae,Polypremum,1877,United States of America,Florida,8,0,,,,,,f1522a1a-5584-45dd-b7e3-3be49e5178bd,,,,,,,,,,,,,,
,,PBRU00025352,Tectaria fimbriata,Tectariaceae,Tectariaceae,Tectaria,1876,United States of America,Massachusetts,9,0,,,,,,fa14ab9c-62a8-4a26-b39a-ae124b5b797b,,,,,,,,,,,,,,
,,PBRU00040069,Simmondsia,Simmondsiaceae,Simmondsiaceae,Simmondsia,1852,United States of America,California,14,0,,,,,,ee5253a7-9450-425a-831a-61dc5612cd9d,,,,,,,,,,,,,,
,,PBRU00075495,Valeriana officinalis,Valerianaceae,Caprifoliaceae,Valeriana,2019,United States of America,Rhode Island,14,0,,,,,,1f677872-3e93-4829-8d3e-860099cd6a88,,,,,,,,,,,,,,
,,PBRU00038303,Crossosoma californicum,Crossosomataceae,Crossosomataceae,Crossosoma,1875,Mexico,,17,0,,,,,,13fc9b05-2106-4b74-9e7f-4aa50c4abd7f,,,,,,,,,,,,,,
,,PBRU00040143,Cyrilla racemiflora,Cyrillaceae,Cyrillaceae,Cyrilla,1877,United States of America,Florida,18,0,,,,,,49ef3c0b-8a65-484d-9c04-d0662817c6e4,,,,,,,,,,,,,,
,,PBRU00037434,Datisca glomerata,Datiscaceae,Datiscaceae,Datisca,1879,United States of America,California,18,0,,,,,,13db2cf2-7360-4020-ae9b-ea3551911bad,,,,,,,,,,,,,,
,,PBRU00059341,Mayaca aubletii,Mayacaceae,Mayacaceae,Mayaca,1987,Costa Rica,,20,0,,,,,,e63a8c72-43ca-472d-acda-7340ac6a91a9,,,,,,,,,,,,,,
,,PBRU00042163,Cordia globosa,Cordiaceae,Boraginaceae,Cordia,1874,United States of America,Florida,22,0,,,,,,d89428c5-05f2-4bf0-a2cc-628311e242e9,,,,,,,,,,,,,,
,,PBRU00047088,Portulacaria pygmaea,Didiereaceae,Didiereaceae,Portulacaria,2014,South Africa,Northern Cape Province,23,0,,,,,,bb47ae03-bf3d-4e61-9638-d4b635acbcbe,,,,,,,,,,,,,,
18,,PBRU00021776,Butomus umbellatus,Butomaceae,Butomaceae,Butomus,1938,United States of America,New York,25,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,7eee32b4-cca2-47ca-bbc5-2a2aeea2e7ac,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
17,,PBRU00041911,Frankenia jamesii,Frankeniaceae,Frankeniaceae,Frankenia,1950,United States of America,Colorado,25,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,no tissue left over ,ACJ/PG,9b3b396d-3d7b-4d41-8c64-3c037ad3c7ae,did not band,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,did not band,20250409,ACJ,20250409,ACJ,20250410,20250410
16,,PBRU00064307,Suriana maritima,Surianaceae,Surianaceae,Suriana,NA,United States of America,Florida,25,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,no tissue left over ,ACJ/PG,61ce0e48-391f-4929-afec-4828d060c0e4,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
15,,PBRU00071780,Gelsemium sempervirens,Gelsemiaceae,Gelsemiaceae,Gelsemium,2018,United States of America,Florida,32,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,2f1d7788-f06e-4741-bf45-a9a7472424bf,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
,,PBRU00013506,Xyris difformis,Xyridaceae,Xyridaceae,Xyris,2021,United States of America,Rhode Island,49,0,,,,,,14bd09a8-6b74-497a-b186-f5f624ff8e0f,,,,,,,,,,,,,,
,,PBRU00070337,Scheuchzeriaceae,Scheuchzeriaceae,Scheuchzeria,Scheuchzeria palustris,2018,United States of America,Rhode Island,37,1,,,,,,cddc344f-3061-4dd8-9b56-fe9fc317dde1,,,,,,,,,,,,,,
,,PBRU00018157,Limnanthaceae,Limnanthaceae,Floerkea,Floerkea proserpinacoides,1903,United States of America,Vermont,58,0,,,,,,b04dab69-d269-49a9-bdb5-c73c68aabf81,,,,,,,,,,,,,,
,,PBRU00073169,Woodsiaceae,Woodsiaceae,Woodsia,Woodsia oregana,1936,Canada,Quebec Province,66,0,,,,,,04222a2f-842e-4b41-a878-94ab7d024c9f,,,,,,,,,,,,,,
,,PBRU00067821,Ceratophyllaceae,Ceratophyllaceae,Ceratophyllum,Ceratophyllum demersum,1970,United States of America,Massachusetts,76,0,,,,,,53e11a08-e1de-4851-92e4-5fcae1d30dcf,,,,,,,,,,,,,,